cultivar2,chazy,freeville,geneva,ithaca,willsboro,Total
altair,,,,1,,1
anka,,1,3,5,2,11
bialobrzeskie,,1,3,4,1,9
canda,,1,1,1,,3
cfx-1,,1,2,5,,8
cfx-2,,1,2,4,,7
crs-1,1,1,2,5,,9
cultivar1,,1,,,,1
cultivar2,,,,1,,1
cultivar3,,,,1,,1
cultivar4,,,,1,,1
earlina 8,,,1,,,1
experimental1,,,,1,,1
experimental2,,,,1,,1
felina 32,,1,2,3,,6
futura 75,,1,3,4,,8
grandi,,3,3,4,,10
h-51,,,1,2,,3
han-fn-h,,,,1,,1
han-nw,,,,1,,1
helena,,1,,,,1
henola,,,,2,,2
hlesia,,,,3,,3
hliana,,,1,1,,2
joey,,1,1,1,,3
katani,,2,3,4,,9
nebraska (feral),1,,,1,,2
pewter river,,1,,,,1
picolo,,1,2,5,,8
portugal,,,1,,,1
rocky hemp,,,1,,,1
sterling gold,,,1,,,1
swift,1,1,,1,,3
tygra,,1,3,4,,8
uso-31,2,1,2,4,,9
wojko,,1,3,4,,8
x-59,,2,,1,,3
Total,5,24,41,76,3,149
